2026-03-21 01:44:48,057 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-03-21 01:44:48,114 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-03-21 01:44:48,114 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-03-21 01:44:48,114 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-03-21 01:44:48,114 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-03-21 01:44:48,123 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-03-21 01:44:48,123 INFO  SwAddin.cs: 201 - Setting up command manager
2026-03-21 01:44:48,125 INFO  SwAddin.cs: 204 - Adding command manager
2026-03-21 01:44:48,128 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-03-21 01:44:48,128 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-03-21 01:44:48,128 INFO  SwAddin.cs: 210 - Adding event handlers
2026-03-21 01:44:48,155 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-03-21 01:44:51,982 INFO  SwAddin.cs: 294 - Assembly export called for file ####UR3e_Master_Device
2026-03-21 01:44:55,734 INFO  SwAddin.cs: 313 - Saving assembly
2026-03-21 01:44:56,222 INFO  SwAddin.cs: 316 - Opening property manager
2026-03-21 01:44:56,247 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ####UR3e_Master_Device
2026-03-21 01:44:56,253 INFO  ExportHelperExtension.cs: 1136 - Found 156 in ####UR3e_Master_Device
2026-03-21 01:44:56,255 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [CoordSys] in ####UR3e_Master_Device
2026-03-21 01:44:56,255 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-03-21 01:44:56,255 INFO  ExportHelperExtension.cs: 1160 - 28 components to check
2026-03-21 01:44:56,259 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2026-03-21 01:44:56,261 INFO  ExportHelperExtension.cs: 1136 - Found 86 in base-1
2026-03-21 01:44:56,261 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2026-03-21 01:44:56,263 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ROBOTIS_U2D2_Power_Hub_Board.stp-2
2026-03-21 01:44:56,263 INFO  ExportHelperExtension.cs: 1136 - Found 30 in ROBOTIS_U2D2_Power_Hub_Board.stp-2
2026-03-21 01:44:56,263 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ROBOTIS_U2D2_Power_Hub_Board.stp-2
2026-03-21 01:44:56,265 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from C-E6905ZZ-1
2026-03-21 01:44:56,265 INFO  ExportHelperExtension.cs: 1136 - Found 24 in C-E6905ZZ-1
2026-03-21 01:44:56,265 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in C-E6905ZZ-1
2026-03-21 01:44:56,265 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from C_E6810ZZ-1
2026-03-21 01:44:56,267 INFO  ExportHelperExtension.cs: 1136 - Found 24 in C_E6810ZZ-1
2026-03-21 01:44:56,267 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in C_E6810ZZ-1
2026-03-21 01:44:56,267 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_plate-1
2026-03-21 01:44:56,267 INFO  ExportHelperExtension.cs: 1136 - Found 57 in base_plate-1
2026-03-21 01:44:56,269 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_plate-1
2026-03-21 01:44:56,269 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XM,H-430_idler.stp-6
2026-03-21 01:44:56,269 INFO  ExportHelperExtension.cs: 1136 - Found 42 in XM,H-430_idler.stp-6
2026-03-21 01:44:56,271 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XM,H-430_idler.stp-6
2026-03-21 01:44:56,271 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link_2_upper_arm-1
2026-03-21 01:44:56,271 INFO  ExportHelperExtension.cs: 1136 - Found 58 in link_2_upper_arm-1
2026-03-21 01:44:56,273 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in link_2_upper_arm-1
2026-03-21 01:44:56,273 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from NSK_6815-1
2026-03-21 01:44:56,273 INFO  ExportHelperExtension.cs: 1136 - Found 58 in NSK_6815-1
2026-03-21 01:44:56,275 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in NSK_6815-1
2026-03-21 01:44:56,275 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XM,H-430_idler.stp-10
2026-03-21 01:44:56,275 INFO  ExportHelperExtension.cs: 1136 - Found 42 in XM,H-430_idler.stp-10
2026-03-21 01:44:56,275 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XM,H-430_idler.stp-10
2026-03-21 01:44:56,277 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 3to4-1
2026-03-21 01:44:56,277 INFO  ExportHelperExtension.cs: 1136 - Found 79 in 3to4-1
2026-03-21 01:44:56,279 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 3to4-1
2026-03-21 01:44:56,279 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_shaft-1
2026-03-21 01:44:56,279 INFO  ExportHelperExtension.cs: 1136 - Found 35 in base_shaft-1
2026-03-21 01:44:56,279 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_shaft-1
2026-03-21 01:44:56,281 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from u2d2-2
2026-03-21 01:44:56,281 INFO  ExportHelperExtension.cs: 1136 - Found 37 in u2d2-2
2026-03-21 01:44:56,281 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in u2d2-2
2026-03-21 01:44:56,281 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor_2_braket-3
2026-03-21 01:44:56,283 INFO  ExportHelperExtension.cs: 1136 - Found 113 in motor_2_braket-3
2026-03-21 01:44:56,283 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor_2_braket-3
2026-03-21 01:44:56,283 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor_2_housing-1
2026-03-21 01:44:56,283 INFO  ExportHelperExtension.cs: 1136 - Found 65 in motor_2_housing-1
2026-03-21 01:44:56,283 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor_2_housing-1
2026-03-21 01:44:56,283 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link2_sup-3
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1136 - Found 71 in link2_sup-3
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in link2_sup-3
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link_2_elbow.1-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1136 - Found 90 in link_2_elbow.1-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in link_2_elbow.1-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor_3_housing-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1136 - Found 46 in motor_3_housing-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor_3_housing-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XM,H-430_idler.stp-8
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1136 - Found 42 in XM,H-430_idler.stp-8
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XM,H-430_idler.stp-8
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from C-SE6704ZZ.stp-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1136 - Found 36 in C-SE6704ZZ.stp-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in C-SE6704ZZ.stp-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from handle-1
2026-03-21 01:44:56,287 INFO  ExportHelperExtension.cs: 1136 - Found 38 in handle-1
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in handle-1
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from motor_3_housing-2
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1136 - Found 46 in motor_3_housing-2
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in motor_3_housing-2
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XM,H-430_idler.stp-11
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1136 - Found 42 in XM,H-430_idler.stp-11
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XM,H-430_idler.stp-11
2026-03-21 01:44:56,295 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from link_4-1
